bloque;indicador;ambito;valor;unidad;anio;fuente;url;nota
C. Servicios básicos y conectividad;Viviendas que se abastecen de manantial/puquio o río/acequia;Dpto. Cajamarca;15.6;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;"51746 manantial + 23156 río/acequia = 74902 viviendas; 220260 personas"
C. Servicios básicos y conectividad;Viviendas con desagüe por red pública (dentro o fuera de la vivienda);Dpto. Cajamarca;44.4;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;dentro 193563 + fuera 20177 (cuadro VSB-9)
C. Servicios básicos y conectividad;Viviendas con pozo ciego/negro;Dpto. Cajamarca;15.6;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;75145 viviendas
C. Servicios básicos y conectividad;Viviendas sin conexión (al aire libre);Dpto. Cajamarca;10.3;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;"49687 viviendas; 140340 personas"
C. Servicios básicos y conectividad;Viviendas con electricidad por red pública;Dpto. Cajamarca;89.4;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;cuadro VSB-10
C. Servicios básicos y conectividad;Viviendas SIN energía eléctrica;Dpto. Cajamarca;5.8;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;"27884 viviendas; 73057 personas; panel solar 15073"
C. Servicios básicos y conectividad;Viviendas con agua por red pública;Perú;79.3;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;8062953 de 10167523 viviendas con ocupantes presentes (cuadro VSB-1)
C. Servicios básicos y conectividad;Viviendas SIN agua por red pública;Perú;20.7;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;"2104570 viviendas; 6326883 personas"
C. Servicios básicos y conectividad;Viviendas que se abastecen de manantial/puquio o río/acequia;Perú;7.6;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;"415440 manantial + 353042 río/acequia = 768482 viviendas; 2217539 personas"
C. Servicios básicos y conectividad;Viviendas con desagüe por red pública (dentro o fuera de la vivienda);Perú;68.7;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;dentro 6557201 + fuera 432916 (cuadro VSB-9)
C. Servicios básicos y conectividad;Viviendas con pozo ciego/negro;Perú;13.1;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;1332005 viviendas
C. Servicios básicos y conectividad;Viviendas sin conexión (al aire libre);Perú;5.4;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;"553809 viviendas; 1544540 personas"
C. Servicios básicos y conectividad;Viviendas con electricidad por red pública;Perú;91.4;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;cuadro VSB-10
C. Servicios básicos y conectividad;Viviendas SIN energía eléctrica;Perú;3.7;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;"380950 viviendas; 975658 personas; panel solar 293205"
E. Salud;IPRESS registradas en la provincia (RENIPRESS);Provincia Cutervo;205;establecimientos;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/registro-nacional-de-ipress-renipress;"EsSalud: 1; MINSA/Gob. Regional: 185; Otro: 1; Privado: 18"
E. Salud;Médicos en IPRESS de la provincia;Provincia Cutervo;141;médicos;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/consulta-recursos-de-salud-por-ipress;"11.6 por 10 000 hab censados (OMS Perú ≈16,9; SUSALUD nacional ≈19,4)"
E. Salud;Enfermeras;Provincia Cutervo;211;enfermeras;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/consulta-recursos-de-salud-por-ipress;17.3 por 10 000 hab
E. Salud;Obstetras;Provincia Cutervo;115;obstetras;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/consulta-recursos-de-salud-por-ipress;
E. Salud;Odontólogos;Provincia Cutervo;45;odontólogos;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/consulta-recursos-de-salud-por-ipress;
E. Salud;Psicólogos;Provincia Cutervo;41;psicólogos;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/consulta-recursos-de-salud-por-ipress;
E. Salud;Camas hospitalarias;Provincia Cutervo;87;camas;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/consulta-recursos-de-salud-por-ipress;7.1 por 10 000 hab
E. Salud;Ambulancias;Provincia Cutervo;25;ambulancias;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/consulta-recursos-de-salud-por-ipress;
E. Salud;Habitantes por médico;Provincia Cutervo;865;hab/médico;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/consulta-recursos-de-salud-por-ipress;
E. Salud;Densidad RHUS (médicos+enfermeras+obstetras) por 10 000 hab;Provincia Cutervo;36.8;por 10 000;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/consulta-recursos-de-salud-por-ipress;"82.7 % del umbral OMS (44,5); brecha 98 profesionales (cálculo P8)"
E. Salud;Hospital Santa Maria De Cutervo (cat. II-1);Distrito Cutervo;53;médicos;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/consulta-recursos-de-salud-por-ipress;"55 enfermeras, 35 camas, 4 ambulancias; concentra 38 % de los médicos de la provincia"
E. Salud;Oferta de salud – distrito Cutervo;Distrito Cutervo;76;IPRESS;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/registro-nacional-de-ipress-renipress;92 médicos (17.4/10 000), 59 camas, 7 ambulancias
E. Salud;Oferta de salud – distrito Querocotillo;Distrito Querocotillo;23;IPRESS;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/registro-nacional-de-ipress-renipress;11 médicos (8.7/10 000), 1 camas, 3 ambulancias
E. Salud;Oferta de salud – distrito Callayuc;Distrito Callayuc;18;IPRESS;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/registro-nacional-de-ipress-renipress;7 médicos (7.3/10 000), 4 camas, 1 ambulancias
E. Salud;Oferta de salud – distrito Socota;Distrito Socota;17;IPRESS;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/registro-nacional-de-ipress-renipress;5 médicos (5.7/10 000), 13 camas, 3 ambulancias
E. Salud;Oferta de salud – distrito Santo Tomás;Distrito Santo Tomás;12;IPRESS;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/registro-nacional-de-ipress-renipress;3 médicos (4.1/10 000), 4 camas, 1 ambulancias
E. Salud;Oferta de salud – distrito Pimpingos;Distrito Pimpingos;8;IPRESS;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/registro-nacional-de-ipress-renipress;3 médicos (5.7/10 000), 0 camas, 1 ambulancias
E. Salud;Oferta de salud – distrito Santo Domingo De La Capilla;Distrito Santo Domingo De La Capilla;12;IPRESS;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/registro-nacional-de-ipress-renipress;2 médicos (4.4/10 000), 3 camas, 2 ambulancias
E. Salud;Oferta de salud – distrito San Andrés De Cutervo;Distrito San Andrés De Cutervo;5;IPRESS;2026;"SUSALUD – RENIPRESS 2026 v4 + Consulta A «Recursos de Salud por IPRESS» (último registro 2026-05; base P8)";http://datos.susalud.gob.pe/dataset/registro-nacional-de-ipress-renipress;3 médicos (7.5/10 000), 1 camas, 1 ambulancias
